GEOID,year,scenario,pixel_count,annual_mean_temp_c,annual_min_temp_c,annual_max_temp_c,high_temp_days_90th,high_temp_days_95th,low_temp_days_10th,annual_mean_min_temp_c,annual_precipitation_mm,high_precip_days_95th,high_precip_days_95th.1,hot_days_30c,threshold_90th_c,threshold_95th_c,cold_days_0c,threshold_10th_c,very_cold_days_10th,extremely_cold_days_5th,ultra_cold_days_1st,threshold_10th_c_cold,threshold_5th_c,threshold_1st_c,growing_degree_days,precip_per_high_day,high_day_ratio
55021,2021,hybrid,5,20.73674774169922,9.136004447937012,29.07332801818848,119.0,81.6,0.0,15.226072311401367,1506.0281982421875,100.6,100.6,0.0,25.39019775390625,27.69125366210937,0.0,-3.126025390625,0.0,0.0,0.0,-8.653094482421874,-12.539520263671877,-19.377080078125,3920.309326171875,14.97045922705952,27.56164383561644
55021,2022,hybrid,5,20.750951766967773,9.073657035827637,29.167505264282227,120.6,81.4,0.0,15.237363815307615,1510.1256103515625,102.2,102.2,0.0,25.41925048828125,27.72811889648437,0.0,-2.9833984375,0.0,0.0,0.0,-8.485675048828124,-12.323699951171877,-19.193928833007813,3926.135986328125,14.776180140426247,28.000000000000004
55021,2023,hybrid,5,20.76754379272461,9.336407661437988,29.277856826782227,121.2,82.6,0.0,15.267132759094238,1527.3150634765625,103.6,103.6,0.0,25.4609375,27.74981689453125,0.0,-2.855010986328125,0.0,0.0,0.0,-8.368914794921874,-12.165780639648435,-19.00605255126953,3931.95654296875,14.742423392630913,28.383561643835613
55021,2024,hybrid,5,20.790496826171875,9.519964218139648,29.320104598999023,121.2,83.6,0.0,15.282835006713867,1528.4501953125,101.8,101.8,0.0,25.52059936523437,27.8138427734375,0.0,-2.770172119140625,0.0,0.0,0.0,-8.2968017578125,-12.035470581054687,-18.84975616455078,3939.776611328125,15.014245533521612,27.89041095890411
55021,2025,hybrid,5,20.81108283996582,9.538915634155272,29.35577392578125,122.6,83.8,0.0,15.29284954071045,1516.631103515625,107.2,107.2,0.0,25.586090087890625,27.861785888671875,0.0,-2.69866943359375,0.0,0.0,0.0,-8.24560546875,-11.895843505859377,-18.67253601074219,3946.72021484375,14.1476782044368,29.369863013698634
55021,2026,hybrid,5,20.82285118103028,9.480249404907228,29.4399471282959,122.2,81.8,0.0,15.270299911499023,1493.849853515625,103.8,103.8,0.0,25.63754272460937,27.89898681640625,0.0,-2.712982177734375,0.0,0.0,0.0,-8.27069091796875,-11.909463500976562,-18.581314086914062,3951.85693359375,14.391617085892342,28.43835616438356
55021,2027,hybrid,5,20.880840301513672,9.547388076782228,29.501605987548828,121.6,79.0,0.0,15.311956405639648,1482.856201171875,102.8,102.8,0.0,25.7039794921875,27.93438720703125,0.0,-2.7291748046875,0.0,0.0,0.0,-8.300628662109375,-11.96343994140625,-18.48786407470703,3973.03125,14.424671217625244,28.164383561643834
55021,2028,hybrid,5,20.85163116455078,9.467132568359377,29.456695556640625,120.2,76.0,0.0,15.273584365844728,1476.260498046875,105.6,105.6,0.0,25.77312011718752,27.973052978515625,0.0,-2.75665283203125,0.0,0.0,0.0,-8.3253662109375,-12.062203979492187,-18.611358337402343,3961.82373046875,13.979739564837832,28.93150684931507
55021,2029,hybrid,5,20.87006950378418,9.684100151062012,29.4053897857666,120.0,74.0,0.0,15.304641723632812,1484.343505859375,102.4,102.4,0.0,25.789581298828125,27.9864501953125,0.0,-2.732086181640625,0.0,0.0,0.0,-8.34722900390625,-12.069680786132812,-18.526712646484373,3968.05078125,14.495542049407959,28.054794520547947
55021,2032,hybrid,5,20.952795028686523,10.060522079467772,29.417102813720703,118.2,76.2,0.0,15.355825424194336,1498.929443359375,101.8,101.8,0.0,25.876129150390625,28.07230529785156,0.0,-2.75445556640625,0.0,0.0,0.0,-8.288116455078125,-11.995767211914062,-18.45785003662109,3998.038330078125,14.724257793314097,27.89041095890411
